ID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1-1,C1-2,C1-3,C1-4,C2-1,C2-2,C2-3,C3-1,C3-2,C3-3,C4-1,C4-2,C4-3,C5-1,C5-2,C6-1,C6-2,C6-3,C6-4,C6-5,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,F1,F2,F3,F4,F5,F6
117,2,1,1,.,3,2,.,1,2,3,2,4,1,2,1,3,3,1,4,4,3,3,3,2,4,3,2,4,2,4,2,2,.,1,.,.,.,.,1,2,2,3,3,1,2,2,3,2,1,6
118,4,1,1,3,3,1,.,2,1,2,1,2,1,2,1,3,3,3,2,2,2,2,3,1,3,2,2,3,3,3,2,2,.,2,.,.,.,.,4,2,2,5,3,3,1,1,2,2,1,6
119,3,1,1,2,2,.,1,1,2,3,1,2,1,1,1,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,3,2,.,2,.,.,.,.,1,3,2,5,4,2,2,1,1,1,2,1
120,5,1,1,4,2,.,6,2,1,1,1,3,1,2,1,4,3,1,4,3,3,3,3,2,4,3,3,2,2,4,4,2,.,7,.,.,.,.,1,2,2,5,3,5,1,2,1,3,2,1
121,4,1,2,3,4,1,.,1,2,2,1,2,2,2,2,2,3,3,4,3,4,3,2,2,4,3,3,3,2,4,2,2,.,4,.,.,.,.,1,1,4,5,5,4,1,1,1,1,1,2
122,3,3,3,.,2,.,3,2,2,2,1,1,3,2,3,2,3,3,3,3,3,3,2,4,3,1,2,4,2,3,3,2,.,1,.,.,.,.,2,2,2,2,4,1,1,2,1,2,1,2
123,3,1,1,2,2,.,2,2,1,4,1,3,1,1,2,3,3,2,4,3,2,1,3,2,4,3,4,3,2,3,2,2,.,3,.,.,.,.,1,2,4,7,5,4,2,3,4,1,2,1
124,4,1,2,.,2,.,5,2,1,1,1,4,2,3,1,3,1,1,2,1,4,3,3,1,4,3,3,4,2,3,2,2,.,1,.,.,.,.,4,2,2,5,5,4,2,3,3,2,1,2
125,4,1,1,2,3,2,.,2,2,3,1,3,1,2,1,1,3,1,4,4,4,3,2,2,1,2,2,3,3,3,3,2,.,1,.,.,.,.,4,2,2,5,5,1,1,2,2,2,2,1
126,4,1,1,.,3,1,.,2,1,3,1,2,1,1,1,4,3,2,2,1,1,2,1,1,3,2,3,2,2,3,2,2,.,2,.,.,.,.,1,2,2,3,1,4,2,2,3,3,1,1
127,3,1,2,.,2,.,1,1,2,3,1,4,2,3,2,2,2,2,3,3,4,3,2,2,3,2,3,3,3,3,2,2,.,1,.,.,.,.,1,2,3,6,3,5,2,2,3,3,1,1
128,4,1,1,.,4,1,.,1,1,3,1,1,1,1,1,4,2,1,2,4,3,3,1,1,4,2,3,3,2,3,2,2,.,5,.,.,.,.,1,1,2,2,4,1,1,3,4,2,2,2
129,3,1,3,4,2,.,1,1,2,3,1,2,1,1,1,3,3,2,3,2,3,2,2,2,3,3,2,3,3,3,2,1,1,.,.,.,.,.,4,2,1,5,4,4,2,3,3,2,1,1
130,3,1,2,.,3,2,.,1,2,3,1,3,2,2,1,3,2,2,3,2,3,2,3,3,3,2,3,2,2,3,2,1,1,.,.,.,.,.,2,2,4,5,4,1,2,2,3,2,1,2
131,2,1,2,3,2,.,1,1,2,4,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,2,3,2,2,2,1,1,5,.,.,.,.,.,2,2,4,5,2,1,2,2,4,2,2,2
132,2,1,1,.,4,5,.,1,2,3,1,3,1,1,1,3,1,1,3,3,3,2,1,1,3,3,3,3,2,3,1,2,.,2,.,.,.,.,2,2,2,5,2,1,2,2,4,2,2,2
133,3,1,1,2,3,1,.,1,2,3,1,1,3,3,2,3,3,2,3,3,2,3,1,1,3,3,2,3,2,3,2,2,.,3,.,.,.,.,1,2,2,5,3,4,2,2,2,2,2,2
134,3,1,1,.,2,.,2,1,2,4,1,3,3,3,2,3,3,2,4,2,3,4,3,2,4,2,2,3,3,3,2,2,.,2,.,.,.,.,1,5,4,3,5,4,2,3,4,2,1,1
135,3,1,1,2,3,2,.,1,2,3,1,3,1,1,1,3,1,1,4,3,1,2,3,1,3,1,3,3,2,1,3,2,.,2,.,.,.,.,1,1,2,3,2,1,2,1,1,3,2,1
136,4,1,1,.,3,5,.,2,1,4,1,3,4,4,2,3,2,2,1,1,3,4,3,2,4,2,2,4,4,2,3,2,.,2,.,.,.,.,1,1,5,3,3,1,2,1,2,2,1,2
137,4,1,1,.,1,.,2,2,2,1,2,1,1,3,3,3,3,2,2,3,1,3,3,3,3,3,3,2,3,2,2,5,.,.,.,.,3,.,2,2,1,1,3,1,2,1,1,1,1,1
138,2,3,2,.,2,.,2,2,2,1,1,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,2,2,3,3,1,1,.,.,.,.,.,2,2,1,3,4,2,2,1,1,1,1,1
139,3,1,1,.,3,3,.,1,2,3,1,3,3,3,3,2,2,2,4,3,4,4,3,3,3,2,3,3,3,3,3,2,.,1,.,.,.,.,2,3,2,3,4,1,2,1,2,2,1,1
140,3,3,1,2,2,.,1,2,1,3,1,2,2,2,1,3,2,1,3,2,1,3,3,2,3,2,2,3,2,2,2,2,.,2,.,.,.,.,4,2,2,5,4,5,2,1,1,3,2,2
141,3,1,2,.,2,.,2,1,1,3,1,3,1,2,2,3,3,2,2,3,3,2,3,2,3,2,3,3,2,2,1,3,.,.,1,.,.,.,4,2,2,5,4,1,2,2,4,3,2,2
142,3,1,1,2,2,.,2,2,2,2,1,3,2,3,3,4,3,2,3,3,3,3,2,2,3,2,3,3,3,4,2,2,.,2,.,.,.,.,1,1,2,3,4,1,2,1,1,2,1,2
143,3,1,1,2,2,.,1,2,1,1,1,2,1,2,1,1,1,1,3,1,2,2,2,1,4,4,3,3,3,3,2,2,.,3,.,.,.,.,1,1,2,5,4,4,2,1,1,1,2,5
144,2,1,1,.,3,1,.,2,1,4,1,2,2,3,2,3,3,2,3,2,1,3,2,2,3,3,3,2,2,3,1,2,.,2,.,.,.,.,4,2,2,5,1,4,2,3,4,3,1,4
145,4,1,4,4,2,.,6,2,1,4,1,3,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,2,1,2,1,6,.,.,.,.,.,2,2,1,5,3,6,1,1,1,1,2,1
146,3,1,1,.,3,1,.,1,2,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,.,2,.,.,.,.,2,1,2,3,3,3,1,1,1,2,1,5
147,4,1,1,.,2,.,2,2,2,4,1,2,2,2,2,2,3,2,3,3,2,3,2,2,3,2,2,3,3,3,2,2,.,3,.,.,.,.,2,2,1,3,4,3,2,2,2,1,1,2
148,3,1,1,.,4,1,.,1,2,3,2,1,3,3,2,2,3,1,2,4,1,4,1,4,1,1,1,1,4,4,1,5,.,.,.,.,6,.,4,2,2,5,5,3,2,3,4,2,2,5
149,2,1,1,3,2,.,1,1,2,2,1,3,1,2,3,2,2,2,3,3,4,4,2,2,4,4,3,3,3,3,2,2,.,2,.,.,.,.,4,2,2,3,3,2,2,2,4,3,2,5
150,2,1,1,2,3,2,.,1,2,3,2,4,3,4,2,3,3,2,4,4,4,4,4,3,3,2,3,3,3,2,2,2,.,3,.,.,.,.,1,1,4,2,3,4,2,3,4,2,2,1
151,5,1,1,2,2,.,2,1,2,4,1,1,1,1,1,2,3,1,2,2,3,1,2,2,3,3,2,2,2,3,1,4,.,.,.,2,.,.,4,1,4,3,5,4,2,4,4,3,2,4
152,3,1,1,2,3,1,.,1,2,2,1,2,2,2,2,3,3,2,4,3,2,3,1,2,4,3,3,3,3,3,3,2,.,1,.,.,.,.,2,2,2,3,4,1,1,1,1,2,2,3
153,3,1,1,3,2,.,1,2,1,2,2,4,4,3,4,4,3,4,4,3,3,4,3,4,3,3,4,4,3,4,2,2,.,2,.,.,.,.,2,3,2,3,4,1,1,1,1,1,2,1
154,2,1,1,.,3,5,.,2,1,3,1,3,1,1,1,2,1,1,3,2,2,2,3,1,3,3,2,2,3,1,1,2,.,2,.,.,.,.,4,3,5,6,2,5,1,3,1,1,2,4
155,4,1,1,.,3,1,.,1,1,1,1,2,1,3,1,3,2,2,4,3,1,3,3,1,4,1,2,4,2,1,1,2,.,1,.,.,.,.,1,2,2,3,2,5,1,2,1,1,2,1
156,5,1,1,2,2,.,5,2,2,4,2,4,1,1,3,2,1,3,3,2,3,2,4,1,4,3,3,4,3,4,2,2,.,2,.,.,.,.,4,2,2,5,5,4,2,1,2,2,1,5
157,2,1,1,.,4,1,.,1,2,2,2,3,1,1,1,2,2,1,2,3,2,1,1,1,3,2,3,3,2,3,2,5,.,.,.,.,7,.,1,1,2,5,3,5,1,1,1,3,1,1
158,4,1,1,.,4,1,.,2,1,1,2,3,1,1,1,4,4,3,3,4,2,4,4,1,4,4,2,2,2,4,1,2,.,2,.,.,.,.,1,5,2,5,3,4,1,1,1,1,1,3
159,2,1,1,2,2,.,4,1,2,3,1,2,1,3,1,3,3,1,3,3,3,3,2,2,4,2,2,3,3,4,3,2,.,2,.,.,.,.,1,1,7,3,4,4,1,3,4,3,2,2
